Date,Close/Last,Open,High,Low
09/27/2021,2347.07,2348.77,2354.15,2343.23
09/24/2021,2355.76,2345.03,2359.54,2344.27
09/23/2021,2353.30,2335.65,2361.37,2334.51
09/22/2021,2325.62,2313.69,2336.24,2310.40
09/21/2021,2303.51,2315.52,2324.10,2299.66
09/20/2021,2303.60,2311.40,2317.81,2276.07
09/17/2021,2344.72,2358.78,2363.08,2341.54
09/16/2021,2364.51,2363.84,2370.12,2348.16
09/15/2021,2366.10,2350.13,2369.27,2343.68
09/14/2021,2346.69,2367.57,2368.92,2342.72
09/13/2021,2359.92,2372.05,2373.71,2348.24
09/10/2021,2356.73,2386.12,2389.06,2356.24
09/09/2021,2374.52,2384.96,2393.80,2373.96
09/08/2021,2385.27,2387.64,2389.48,2374.70
09/07/2021,2389.66,2396.24,2396.72,2386.01
09/03/2021,2397.98,2394.00,2400.70,2390.37
09/02/2021,2397.55,2397.81,2402.09,2390.69
09/01/2021,2390.58,2393.75,2397.82,2389.50
08/31/2021,2389.25,2392.74,2394.00,2386.12
08/30/2021,2393.74,2386.73,2397.82,2385.62
08/27/2021,2382.53,2366.81,2384.37,2366.58
08/26/2021,2362.35,2374.44,2376.50,2361.91
08/25/2021,2375.93,2373.54,2378.86,2370.97
08/24/2021,2370.82,2370.02,2374.10,2368.83
08/23/2021,2366.43,2353.86,2371.30,2353.86
08/20/2021,2345.44,2328.53,2346.80,2327.41
08/19/2021,2326.09,2309.04,2333.67,2309.04
08/18/2021,2323.89,2343.33,2351.50,2322.54
08/17/2021,2348.86,2351.46,2354.05,2332.86
08/16/2021,2364.89,2354.41,2365.07,2342.07
08/13/2021,2360.48,2358.99,2361.12,2357.01
08/12/2021,2357.06,2347.80,2357.67,2343.77
08/11/2021,2349.13,2351.52,2352.28,2342.66
08/10/2021,2345.39,2347.77,2351.76,2342.60
08/09/2021,2345.27,2346.89,2348.45,2340.18
08/06/2021,2346.55,2345.94,2350.71,2342.67
08/05/2021,2345.40,2335.93,2345.66,2334.80
08/04/2021,2331.31,2333.64,2337.21,2328.75
08/03/2021,2339.73,2326.44,2340.06,2313.81
08/02/2021,2321.60,2325.06,2338.36,2320.46
07/30/2021,2325.06,2324.23,2334.91,2322.56
